"portal","geo","month","NormalizedSI","pctTot"
"Portal - Boat Trader Online","US_Flordia - Geographical Area",7,1.21264417313414,0.101053681094512
"Portal - Boat Trader Online","US_Flordia - Geographical Area",8,1.06667720897036,0.0888897674141966
"Portal - Boat Trader Online","US_Flordia - Geographical Area",9,0.889268229516041,0.0741056857930034
"Portal - Boat Trader Online","US_Flordia - Geographical Area",10,0.733020199567789,0.0610850166306491
"Portal - Boat Trader Online","US_Flordia - Geographical Area",11,0.721395867016194,0.0601163222513495
"Portal - Boat Trader Online","US_Flordia - Geographical Area",12,0.656301743362751,0.0546918119468959
"Portal - Boat Trader Online","Africa - Geographical Area",1,0.979237461526144,0.0816031217938454
"Portal - Boat Trader Online","Africa - Geographical Area",2,0.89210715154103,0.0743422626284192
"Portal - Boat Trader Online","Africa - Geographical Area",3,0.972168353882375,0.0810140294901979
"Portal - Boat Trader Online","Africa - Geographical Area",4,1.06646265886218,0.0888718882385152
"Portal - Boat Trader Online","Africa - Geographical Area",5,1.25144554948672,0.104287129123893
"Portal - Boat Trader Online","Africa - Geographical Area",6,1.09115709193991,0.0909297576616594
"Portal - Boat Trader Online","Africa - Geographical Area",7,1.05702136744534,0.088085113953778
"Portal - Boat Trader Online","Africa - Geographical Area",8,1.10792843121557,0.0923273692679639
"Portal - Boat Trader Online","Africa - Geographical Area",9,1.04022630633195,0.0866855255276626
"Portal - Boat Trader Online","Africa - Geographical Area",10,0.953855095154222,0.0794879245961851
"Portal - Boat Trader Online","Africa - Geographical Area",11,0.845636071426453,0.0704696726188711
"Portal - Boat Trader Online","Africa - Geographical Area",12,0.742754461188108,0.061896205099009
"Portal - Boat Trader Online","FarEast - Geographical Area",1,0.876622654487691,0.0730518878739742
"Portal - Boat Trader Online","FarEast - Geographical Area",2,0.924977929839543,0.0770814941532953
"Portal - Boat Trader Online","FarEast - Geographical Area",3,0.880214289931201,0.0733511908276001
"Portal - Boat Trader Online","FarEast - Geographical Area",4,0.955136134790673,0.0795946778992228
"Portal - Boat Trader Online","FarEast - Geographical Area",5,1.17616175539809,0.0980134796165078
"Portal - Boat Trader Online","FarEast - Geographical Area",6,1.17677134489997,0.0980642787416645
"Portal - Boat Trader Online","FarEast - Geographical Area",7,1.15038600470372,0.095865500391977
"Portal - Boat Trader Online","FarEast - Geographical Area",8,1.09017256600111,0.0908477138334255
"Portal - Boat Trader Online","FarEast - Geographical Area",9,1.07093754590799,0.0892447954923328
"Portal - Boat Trader Online","FarEast - Geographical Area",10,0.979338485554514,0.0816115404628761
"Portal - Boat Trader Online","FarEast - Geographical Area",11,0.89595652693246,0.0746630439110384
"Portal - Boat Trader Online","FarEast - Geographical Area",12,0.823324761553025,0.0686103967960854
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",1,0.874259528827776,0.072854960735648
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",2,0.828355910118326,0.0690296591765272
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",3,1.00310210977957,0.0835918424816312
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",4,1.07940578523353,0.0899504821027944
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",5,1.19464878766543,0.0995540656387857
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",6,1.31302476620086,0.109418730516739
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",7,1.16431240929701,0.097026034108084
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",8,1.21157662264221,0.100964718553517
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",9,1.07053008091311,0.0892108400760921
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",10,0.851524225951751,0.0709603521626459
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",11,0.761105177131574,0.0634254314276312
"Portal - Boat Trader Online","NorthAmericaInt - Geographical Area",12,0.648154596238854,0.0540128830199045
"Portal - Boat Trader Online","Australiasia - Geographical Area",1,1.45805486962235,0.121504572468529
"Portal - Boat Trader Online","Australiasia - Geographical Area",2,1.06447598565412,0.0887063321378436
"Portal - Boat Trader Online","Australiasia - Geographical Area",3,1.05960757416086,0.0883006311800716
